team,runs,at_bats,hits,homeruns,bat_avg,strikeouts,stolen_bases,wins,onbase_pct,slug_pct,onbase_plus_slug
Arizona Diamondbacks,679,5489,1297,144,0.236,1465,43,52,0.309,0.382,0.692
Atlanta Braves,790,5363,1307,239,0.244,1453,59,88,0.319,0.435,0.754
Baltimore Orioles,659,5420,1296,195,0.239,1454,54,52,0.304,0.402,0.705
Boston Red Sox,829,5495,1434,219,0.261,1386,40,92,0.328,0.449,0.777
Chicago Cubs,705,5306,1255,210,0.237,1596,86,71,0.312,0.407,0.719
Chicago White Sox,796,5357,1373,190,0.256,1389,57,93,0.336,0.422,0.758
Cincinnati Reds,786,5423,1352,222,0.249,1425,36,83,0.328,0.431,0.759
Cleveland Indians,717,5332,1269,203,0.238,1387,109,80,0.303,0.407,0.71
Colorado Rockies,739,5374,1338,182,0.249,1356,76,74,0.317,0.414,0.731
Detroit Tigers,697,5376,1299,179,0.242,1514,88,77,0.308,0.399,0.707
Houston Astros,863,5593,1496,221,0.267,1222,53,95,0.339,0.444,0.783
Kansas City Royals,686,5427,1349,163,0.249,1258,124,74,0.306,0.396,0.702
Los Angeles Angels,723,5437,1331,190,0.245,1394,79,77,0.31,0.407,0.717
Los Angeles Dodgers,830,5445,1330,237,0.244,1408,65,106,0.33,0.429,0.759
Miami Marlins,623,5348,1244,158,0.233,1553,106,67,0.298,0.372,0.671
Milwaukee Brewers,738,5362,1251,194,0.233,1465,82,95,0.317,0.396,0.713
Minnesota Twins,729,5431,1311,228,0.241,1405,54,73,0.314,0.423,0.738
New York Mets,636,5210,1243,176,0.239,1392,54,77,0.315,0.391,0.705
New York Yankees,711,5331,1266,222,0.237,1482,63,92,0.322,0.407,0.729
Oakland Athletics,743,5395,1284,199,0.238,1349,88,86,0.317,0.406,0.723
Philadelphia Phillies,734,5366,1288,198,0.24,1402,77,82,0.318,0.408,0.726
Pittsburgh Pirates,609,5336,1261,124,0.236,1328,60,61,0.309,0.364,0.673
San Diego Padres,729,5384,1305,180,0.242,1324,110,79,0.321,0.401,0.722
Seattle Mariners,697,5355,1209,199,0.226,1492,64,90,0.303,0.385,0.688
San Francisco Giants,804,5462,1360,241,0.249,1461,66,107,0.329,0.44,0.769
St. Louis Cardinals,706,5351,1303,198,0.244,1341,89,90,0.313,0.412,0.725
Tampa Bay Rays,857,5507,1336,222,0.243,1542,88,100,0.321,0.429,0.75
Texas Rangers,625,5405,1254,167,0.232,1381,106,60,0.294,0.375,0.67
Toronto Blue Jays,846,5476,1455,262,0.266,1218,81,91,0.33,0.466,0.797
Washington Nationals,724,5385,1388,182,0.258,1303,56,65,0.337,0.417,0.754
